"","No.","Player","Age","Pos","G","GS","Wt","Ht","College.Univ","BirthDate","Yrs","AV","Drafted..tm.rnd.yr.","Cap.Hit"
"34",70,"Jake Matthews",24,"OT",14,14,308,"6-6","Texas A&M","2/11/1992","2",NA,"Atlanta Falcons / 1st / 6th pick / 2014","$4,480,773"
"35",74,"Chris Mayes",25,"NT",NA,NA,323,"6-4","","9/27/1991","Rook",NA,"","$450,000"
"36",22,"Keanu Neal",21,"FS",12,12,211,"6-0","Florida","7/6/1995","Rook",NA,"Atlanta Falcons / 1st / 17th pick / 2016","$1,952,299"
"37",20,"Sharrod Neasman",25,"S",1,0,198,"6-0","","10/14/1991","Rook",NA,"","$450,000"
"38",30,"Ayodeji Olatoye",25,"DB",3,0,194,"6-1","North Carolina A&T","7/20/1991","2",NA,"","$185,284"
"39",82,"Joshua Perkins",23,"TE",6,0,227,"6-4","","8/5/1993","Rook",NA,"","$450,000"
"40",34,"Brian Poole",24,"S",14,7,211,"5-10","","10/20/1992","Rook",NA,"","$450,000"
"41",50,"Brooks Reed",29,"DL",13,7,255,"6-3","Arizona","2/28/1987","5",NA,"Houston Texans / 2nd / 42nd pick / 2011","$3,440,000"
"42",53,"LaRoy Reynolds",26,"LB",14,3,243,"6-1","Virginia","11/3/1990","3",NA,"","$675,000"
"43",19,"Aldrick Robinson",28,"WR",14,1,184,"5-10","SMU","9/24/1988","5",NA,"Washington Redskins / 6th / 178th pick / 2011","$675,000"
"44",2,"Matt Ryan",31,"QB",14,14,224,"6-5","Boston Col.","5/17/1985","8",NA,"Atlanta Falcons / 1st / 3rd pick / 2008","$23,750,000"
"45",12,"Mohamed Sanu",27,"WR",13,13,215,"6-2","Rutgers","8/22/1989","4",NA,"Cincinnati Bengals / 3rd / 83rd pick / 2012","$2,400,000"
"46",8,"Matt Schaub",35,"QB",5,0,235,"6-5","Virginia","6/25/1981","12",NA,"Atlanta Falcons / 3rd / 90th pick / 2004","$1,750,000"
"47",73,"Ryan Schraeder",28,"T",14,14,300,"6-7","Valdosta St.","5/4/1988","3",NA,"","$2,553,000"
"48",71,"Wes Schweitzer",23,"OT",NA,NA,302,"6-5","San Jose St.","9/11/1993","Rook",NA,"Atlanta Falcons / 6th / 195th pick / 2016","$483,095"
"49",90,"Derrick Shelby",27,"DE",6,4,280,"6-3","Utah","3/4/1989","4",NA,"","$2,250,000"
"50",52,"Tyler Starr",25,"OLB",NA,NA,250,"6-4","South Dakota","1/25/1991","2",NA,"Atlanta Falcons / 7th / 255th pick / 2014","$22,948"
"51",83,"Jacob Tamme",31,"TE",8,5,234,"6-4","Kentucky","3/15/1985","8",NA,"Indianapolis Colts / 4th / 127th pick / 2008","$2,584,375"
"52",27,"Robenson Therezie",25,"SS",12,0,208,"5-9","Auburn","8/5/1991","1",NA,"","$525,000"
"53",80,"Levine Toilolo",25,"TE",14,9,260,"6-8","Stanford","7/30/1991","3",NA,"Atlanta Falcons / 4th / 133rd pick / 2013","$1,746,146"
"54",21,"Desmond Trufant",26,"CB",9,9,190,"6-0","Washington","9/10/1990","3",NA,"Atlanta Falcons / 1st / 22nd pick / 2013","$2,598,303"
"55",91,"Courtney Upshaw",27,"OLB",11,3,273,"6-2","Alabama","12/13/1989","4",NA,"Baltimore Ravens / 2nd / 35th pick / 2012","$1,400,000"
"56",28,"Terron Ward",24,"RB",5,0,201,"5-7","Oregon St.","2/15/1992","1",NA,"","$525,333"
"57",56,"Sean Weatherspoon",29,"LB",4,3,241,"6-1","Missouri","12/29/1987","6",NA,"Atlanta Falcons / 1st / 19th pick / 2010","$1,468,750"
"58",14,"Eric Weems",31,"WR",14,0,182,"5-8","Bethune-Cookman","7/4/1985","9",NA,"","$1,147,500"
"59",41,"Philip Wheeler",32,"LB",14,4,245,"6-2","Georgia Tech","12/12/1984","8",NA,"Indianapolis Colts / 3rd / 93rd pick / 2008","$680,000"
"60",15,"Nick Williams",26,"WR",1,0,184,"5-10","Connecticut","11/23/1990","3",NA,"","$141,176"
"61",55,"Paul Worrilow",26,"LB",10,0,232,"6-1","Delaware","5/1/1990","3",NA,"","$2,553,000"
"62",38,"Blidi Wreh-Wilson",27,"CB",1,0,195,"6-1","Connecticut","12/5/1989","3",NA,"Tennessee Titans / 3rd / 70th pick / 2013","$198,529"
"63",NA,"Team Total",27.3,"",14,NA,235.7,"6-1.5","","","4.4",NA,"",""
